WD25CD,WD25NM,WD25NMW,ObjectId
E05000932,Ainsdale,,1
E05000933,Birkdale,,2
E05000934,Blundellsands,,3
E05000935,Cambridge,,4
E05000936,Church,,5
E05000937,Derby,,6
E05000938,Duke's,,7
E05000939,Ford,,8
E05000940,Harington,,9
E05000941,Kew,,10
E05000942,Linacre,,11
E05000943,Litherland,,12
E05000944,Manor,,13
E05000945,Meols,,14
E05000946,Molyneux,,15
E05000947,Netherton and Orrell,,16
E05000948,Norwood,,17
E05000949,Park,,18
E05000950,Ravenmeols,,19
E05000951,St Oswald,,20
E05000952,Sudell,,21
E05000953,Victoria,,22
E05000954,Bebington,,23
E05000955,Bidston and St James,,24
E05000956,Birkenhead and Tranmere,,25
E05000957,Bromborough,,26
E05000958,Clatterbridge,,27
E05000959,Claughton,,28
E05000960,Eastham,,29
E05000961,"Greasby, Frankby and Irby",,30
E05000962,Heswall,,31
E05000963,Hoylake and Meols,,32
E05000964,Leasowe and Moreton East,,33
E05000965,Liscard,,34
E05000966,Moreton West and Saughall Massie,,35
E05000967,New Brighton,,36
E05000968,Oxton,,37
E05000969,Pensby and Thingwall,,38
E05000970,Prenton,,39
E05000971,Rock Ferry,,40
E05000972,Seacombe,,41
E05000973,Upton,,42
E05000974,Wallasey,,43
E05000975,West Kirby and Thurstaston,,44
E05000976,Central,,45
E05000977,Cudworth,,46
E05000978,Darfield,,47
E05000979,Darton East,,48
E05000980,Darton West,,49
E05000981,Dearne North,,50
E05001694,Driffield and Rural,,51
E05001695,East Wolds and Coastal,,52
E05001696,Goole North,,53
E05001697,Goole South,,54
E05001698,Hessle,,55
E05001699,Howden,,56
E05001700,Howdenshire,,57
E05001701,Mid Holderness,,58
E05001702,Minster and Woodmansey,,59
E05001703,North Holderness,,60
E05001705,St Mary's,,61
E05001706,"Snaith, Airmyn, Rawcliffe and Marshland",,62
E05001707,South East Holderness,,63
E05001708,South Hunsley,,64
E05001709,South West Holderness,,65
E05001710,Tranby,,66
E05001711,Willerby and Kirk Ella,,67
E05001713,Croft Baker,,68
E05001714,East Marsh,,69
E05001715,Freshney,,70
E05001716,Haverstoe,,71
E05001717,Heneage,,72
E05001718,Humberston and New Waltham,,73
E05001719,Immingham,,74
E05001720,Park,,75
E05001721,Scartho,,76
E05001722,Sidney Sussex,,77
E05001723,South,,78
E05001724,Waltham,,79
E05001725,West Marsh,,80
E05001726,Wolds,,81
E05001727,Yarborough,,82
E05002078,Budshead,,83
E05002079,Compton,,84
E05002080,Devonport,,85
E05002081,Drake,,86
E05002082,Efford and Lipson,,87
E05002083,Eggbuckland,,88
E05002084,Ham,,89
E05002085,Honicknowle,,90
E05002086,Moor View,,91
E05002087,Peverell,,92
E05002088,Plympton Chaddlewood,,93
E05002089,Plympton Erle,,94
E05002090,Plympton St Mary,,95
E05002091,Plymstock Dunstone,,96
E05002092,Plymstock Radford,,97
E05002093,St Budeaux,,98
E05002094,St Peter and the Waterfront,,99
E05002095,Southway,,100
E05001314,Pleck,,101
E05001315,Rushall-Shelfield,,102
E05001316,St Matthew's,,103
E05001317,Short Heath,,104
E05001318,Streetly,,105
E05001319,Willenhall North,,106
E05001320,Willenhall South,,107
E05001341,Baildon,,108
E05001342,Bingley,,109
E05001343,Bingley Rural,,110
E05001344,Bolton and Undercliffe,,111
E05001345,Bowling and Barkerend,,112
E05001346,Bradford Moor,,113
E05001347,City,,114
E05001348,Clayton and Fairweather Green,,115
E05001349,Craven,,116
E05001350,Eccleshill,,117
E05001351,Great Horton,,118
E05001352,Heaton,,119
E05001353,Idle and Thackley,,120
E05001354,Ilkley,,121
E05001355,Keighley Central,,122
E05001356,Keighley East,,123
E05001357,Keighley West,,124
E05001358,Little Horton,,125
E05001359,Manningham,,126
E05001360,Queensbury,,127
E05001361,Royds,,128
E05001362,Shipley,,129
E05001363,Thornton and Allerton,,130
E05001364,Toller,,131
E05001365,Tong,,132
E05001366,Wharfedale,,133
E05001367,Wibsey,,134
E05001368,Windhill and Wrose,,135
E05001369,Worth Valley,,136
E05001370,Wyke,,137
E05001371,Brighouse,,138
E05001372,Calder,,139
E05001373,Elland,,140
E05001374,Greetland and Stainland,,141
E05001375,Hipperholme and Lightcliffe,,142
E05001376,Illingworth and Mixenden,,143
E05001377,Luddendenfoot,,144
E05001378,Northowram and Shelf,,145
E05001379,Ovenden,,146
E05001380,Park,,147
E05001381,Rastrick,,148
E05001382,Ryburn,,149
E05001383,Skircoat,,150
E05000982,Dearne South,,151
E05000983,Dodworth,,152
E05000984,Hoyland Milton,,153
E05000985,Kingstone,,154
